Timestamp: 2025-03-31T21:46:33, LR: 0.00445, Batch Size: 64
Timestamp: 2025-04-01T10:19:51, LR: 0.00534, Batch Size: 64
Timestamp: 2025-04-01T14:05:47, LR: 0.00964, Batch Size: 32
Timestamp: 2025-04-02T15:47:08, LR: 0.00126, Batch Size: 32
Timestamp: 2025-04-03T18:47:21, LR: 0.00165, Batch Size: 8
Timestamp: 2025-04-04T21:13:27, LR: 0.00840, Batch Size: 16
Timestamp: 2025-04-05T02:35:40, LR: 0.00073, Batch Size: 64
Timestamp: 2025-04-06T16:25:42, LR: 0.00563, Batch Size: 16
Timestamp: 2025-04-07T06:02:07, LR: 0.00546, Batch Size: 16
Timestamp: 2025-04-07T11:24:02, LR: 0.00416, Batch Size: 16
Timestamp: 2025-04-08T00:54:41, LR: 0.00371, Batch Size: 64
Timestamp: 2025-04-08T21:28:59, LR: 0.00197, Batch Size: 16
Timestamp: 2025-04-09T22:16:11, LR: 0.00411, Batch Size: 32
Timestamp: 2025-04-10T07:34:56, LR: 0.00305, Batch Size: 16
Timestamp: 2025-04-11T06:20:17, LR: 0.00307, Batch Size: 64
Timestamp: 2025-04-11T09:02:52, LR: 0.00996, Batch Size: 16
Timestamp: 2025-04-11T14:45:55, LR: 0.00642, Batch Size: 32
Timestamp: 2025-04-12T14:31:15, LR: 0.00477, Batch Size: 32
Timestamp: 2025-04-13T12:42:10, LR: 0.00679, Batch Size: 32
Timestamp: 2025-04-14T02:20:55, LR: 0.00251, Batch Size: 16
Timestamp: 2025-04-14T07:36:11, LR: 0.00368, Batch Size: 64
Timestamp: 2025-04-14T08:55:08, LR: 0.00576, Batch Size: 32
Timestamp: 2025-04-14T19:15:36, LR: 0.00329, Batch Size: 64
Timestamp: 2025-04-15T22:09:43, LR: 0.00632, Batch Size: 16
Timestamp: 2025-04-16T13:59:11, LR: 0.00581, Batch Size: 64
Timestamp: 2025-04-16T19:41:44, LR: 0.00991, Batch Size: 16
Timestamp: 2025-04-17T03:33:28, LR: 0.00176, Batch Size: 32
